1991,91,Raw Nerve,Mystery,"Ford, Glenn","Prior, David A."
1970,94,Think Dirty,Comedy,"Feldman, Marty","Clark, Jim"
1982,108,King of Comedy,Drama,"De Niro, Robert","Scorsese, Martin"
1983,60,"Best of the Big Laff Off, The",Comedy,"Murphy, Eddie",
1984,158,Amadeus,Drama,"Abraham, F. Murray","Forman, Milos"
1973,101,White Lightning,Action,"Reynolds, Burt","Sargent, Joseph"
1988,172,"Unbearable Lightness of Being, The",Drama,"Day-Lewis, Daniel","Kaufman, Philip"
1972,124,"Life & Times of Judge Roy Bean, The",Western,"Newman, Paul","Huston, John"
1970,137,Airport,Drama,"Lancaster, Burt","Seaton, George"
1973,116,Day for Night,Drama,"Aumont, Jean-Pierre","Truffaut, François"
1952,107,Secrets of Women,Comedy,"Malmsten, Birger","Bergman, Ingmar"
1976,116,Burnt Offerings,Horror,"Reed, Oliver","Curtis, Dan"
1969,94,Easy Rider,Drama,"Fonda, Peter","Hopper, Dennis"
1991,98,Five Easy Pieces,Drama,"Nicholson, Jack","Rafelson, Bob"
1974,144,"Day of the Locust, The",Drama,"Sutherland, Donald","Schlesinger, John"
1964,112,Goldfinger,Action,"Connery, Sean","Hamilton, Guy"
1977,117,"Exorcist II, The Heretic",Horror,"Burton, Richard","Boorman, John"
1953,61,White Lightning,,"Clements, Stanley","Bernds, Edward"
1942,88,Lady for a Night,Drama,"Wayne, John","Leigh, Jason"
1968,103,Charly,Drama,"Robertson, Cliff","Nelson, Ralph"
1973,105,High Plains Drifter,Western,"Eastwood, Clint","Eastwood, Clint"
1982,123,Honkytonk Man,Drama,"Eastwood, Clint","Eastwood, Clint"
1990,102,Nightbreed,Horror,"Cronenberg, David","Barker, Clive"
1987,98,Under the Sun of Satan,Drama,"Depardieu, Gérard","Pialat, Maurice"
1985,105,Vagabond,Drama,"Meril, Macha","Varda, Agnes"
1993,60,"Bill Cosby, Live at Harrah's",Comedy,"Cosby, Bill",
1974,89,Monty Python & the Holy Grail,Comedy,"Chapman, Graham","Gilliam, Terry"
1993,65,John Cleese on How to Irritate People,Comedy,"Cleese, John",
1958,101,"Matchmaker, The",Comedy,"Perkins, Anthony","Anthony, Joseph"
1981,129,For Your Eyes Only,Action,"Moore, Roger","Glen, John"
1928,139,Wings,War,"Rogers, Buddy","Wellman, William"
1992,106,Medicine Man,Action,"Connery, Sean","McTiernan, John"
1985,119,Kiss of the Spider Woman,Drama,"Hurt, William","Babenco, Hector"
1990,121,"Rookie, THe",Action,"Eastwood, Clint","Eastwood, Clint"
1973,129,"Sting, The",Drama,"Newman, Paul","Hill, George Roy"
1958,96,Torpedo Run,War,"Ford, Glenn","Pevney, Joseph"
1986,101,Instant Justice,Drama,"Paré, Michael","Rumar, Craig"
1990,135,Cyrano de Bergerac,Drama,"Depardieu, Gérard","Rappeneau, Jean-Paul"
1948,110,Border Street,Drama,"Fijewski, Tadeusz","Ford, Aleksander"
1987,91,Firehouse,Comedy,"Hopkins, Barrett","Ingvordsen, J. Christian"
1965,123,Morituri,Drama,"Brando, Marlon","Wicki, Bernhard"
1980,104,From the Life of the Marionettes,Drama,"Atzorn, Robert","Bergman, Ingmar"
1988,120,Frantic,Mystery,"Ford, Harrison","Polanski, Roman"
1978,114,Coma,Science Fiction,"Douglas, Michael","Crichton, Michael"
1988,117,Dead Ringers,Drama,"Irons, Jeremy","Cronenberg, David"
1988,90,Golden Ninja Invasion,Action,"West, Leonard","Lambert, Bruce"
1973,122,"Exorcist, The",Horror,"Sydow, Max von","Friedkin, William"
1975,112,Alice Doesn't Live Here Anymore,Comedy,"Kristofferson, Kris",
1982,94,"Eyes of the Amaryllis, The",Drama,"Bolt, Jonathan","King Keller, Frederick"
1952,109,What Price Glory?,War,"Cagney, James","Ford, John"
1954,40,Inauguration of the Pleasure Dome,Short,"De Brier, Sampson","Anger, Kenneth"
1989,114,School Daze,Comedy,"Fishburne, Larry","Lee, Spike"
1990,102,"End of Innocence, The",Drama,"Heard, John","Cannon, Dyan"
1971,98,"Anderson Tapes, The",Mystery,"Connery, Sean","Lumet, Sidney"
1983,50,"Father Murphy, A Horse from Heaven",Comedy,"Olsen, Merlin","Claxton, William F."
1989,80,Skull,Drama,"Bideman, Robert","Bergman, Robert"
1987,91,"Quick & The Dead, The",Western,"Elliott, Sam","Day, Robert"
1984,94,Best Defense,Comedy,"Moore, Dudley","Huyck, Willard"
1984,99,Dreamscape,Science Fiction,"Quaid, Dennis","Ruben, Joseph"
1989,125,Black Rain,Action,"Douglas, Michael","Scott, Ridley"
1963,138,8 1/2,Drama,"Mastroianni, Marcello","Fellini, Federico"
1935,64,One Frightened Night,Horror,"Ford, Wallace","Cabanne, Christy"
1988,103,"Year My Voice Broke, The",Drama,"Taylor, Noah","Duigan, John"
1966,175,Is Paris Burning?,War,"Belmondo, Jean-Paul","Clément, René"
1974,313,QB VII,Drama,"Hopkins, Anthony","Gries, Tom"
1977,104,"Island of Dr. Moreau, The",Horror,"Lancaster, Burt","Taylor, Don"
1983,104,Beyond the Limit,Drama,"Caine, Michael","Mackenzie, John"
1936,84,Secret Agent,Mystery,"Lorre, Peter","Hitchcock, Alfred"
1986,71,Paramount Comedy Theater: Well-Developed,Comedy,"Mahler, Bruce",
1972,71,"Big Bust Out, The",Action,"Kendall, Tony","Theumer, Ernst R. von"
1987,119,"Fourth Protocol, The",Mystery,"Caine, Michael","Mackenzie, John"
1990,107,Gremlins 2: The New Batch,Comedy,"Galligan, Zach","Dante, Joe"
1982,92,Fast Times at Ridgemont High,Comedy,"Penn, Sean","Heckerling, Amy"
1977,91,Rabid,Horror,"Moore, Frank","Cronenberg, David"
1989,90,"Vampire Raiders, Ninja Queen",Action,"Peterson, Chris","Lambert, Bruce"
1970,26,Bloopers from Star Trek,Comedy,"Lawford, Peter",
1943,99,Destroyer,Action,"Robinson, Edward G.","Seiter, William A."
1992,99,Party Girl,Comedy,"Taylor, Robert","Ray, Nicholas"
1989,113,Twin Peaks,Mystery,"MacLachlan, Kyle","Lynch, David"
1987,103,Moonstruck,Comedy,"Cage, Nicholas","Jewison, Norman"
1987,119,"Witches of Eastwick, The",Comedy,"Nicholson, Jack","Miller, George"
1979,128,Moonraker,Action,"Moore, Roger","Gilbert, Lewis"
1984,106,Beat Street,Drama,"Davis, Guy","Lathan, Stan"
1986,88,Running Out of Luck,Comedy,"Jagger, Mick",
1989,90,Never on Tuesday,Drama,"Lauer, Andrew","Rifkin, Adam"
1975,109,Shampoo,Comedy,"Beatty, Warren","Ashby, Hal"
1985,111,Power,Drama,"Hackman, Gene","Lumet, Sidney"
1965,122,Darling,Drama,"Harvey, Laurence","Schlesinger, John"
1963,120,"Ugly American, The",Drama,"Brando, Marlon","Englund, George"
1931,68,Ambassador Bill,Comedy,"Rogers, Will","Taylor, Sam"
1931,110,"Big Trail, The",Western,"Wayne, John","Walsh, Raoul"
1967,111,Hombre,Western,"Newman, Paul","Ritt, Martin"
1968,103,Coogan's Bluff,Action,"Eastwood, Clint","Siegel, Don"
1989,91,Penn & Teller Get Killed,Comedy,"Penn, Jillette","Penn, Arthur"
1987,118,Shy People,Drama,"Philbin, John","Konchalovsky, Andrei"
1980,91,It's My Turn,Comedy,"Douglas, Michael","Weill, Claudia"
1988,119,Dangerous Liaisons,Drama,"Malkovich, John","Frears, Stephen"
1990,111,Reversal of Fortune,Drama,"Irons, Jeremy","Schroeder, Barbet"
1991,119,Meeting Venus,Comedy,"Arestrup, Niels","Szabó, István"
1946,105,Tomorrow Is Forever,Drama,"Welles, Orson",
1987,101,Like Father Like Son,Comedy,"Cameron, Kirk","Daniel, Rod"
1948,81,Rope,Drama,"Stewart, James","Hitchcock, Alfred"
1962,91,Road to Hong Kong,Comedy,"Hope, Bob","Panama, Norman"
1989,108,Shirley Valentine,Comedy,"Conti, Tom","Gilbert, Lewis"
1992,135,City of Joy,Drama,"Swayze, Patrick","Joffe, Roland"
1966,99,"Appaloosa, The",Western,"Brando, Marlon","Furie, Sidney J."
1986,88,Seven Minutes in Heaven,Comedy,"Thames, Byron","Feferman, Linda"
1991,96,"Hearts of Darkness, A Filmmaker's Apocalypse",Drama,"Bottoms, Sam","Bahr, Fax"
1961,66,Tonight for Sure,Comedy,"Lee, Karla","Coppola, Francis Ford"
1990,110,"White Hunter, Black Heart",Adventure,"Eastwood, Clint","Eastwood, Clint"
1962,110,Sundays & Cybele,Drama,"Kruger, Hardy","Bourguignon, Serge"
1989,90,Puppet Master,Science Fiction,"LeMat, Paul","Schmoeller, David"
1991,95,Night Gallery,Horror,"McDowall, Roddy","Spielberg, Steven"
1989,103,Pet Sematary,Horror,"Gwynne, Fred","Lambert, Mary"
1992,60,"America's Music, Gospel",Music,"Phipps, Wentley","Walton, Kip"
1977,123,Slap Shot,Comedy,"Newman, Paul","Hill, George Roy"
1987,109,O. C. & Stiggs,Comedy,"Jenkins, Daniel H.","Altman, Robert"
1988,108,A Fish Called Wanda,Comedy,"Cleese, John","Crichton, Charles"
1954,96,A Lesson in Love,Comedy,"Björnstrand, Gunnar","Bergman, Ingmar"
1957,82,Brink of Life,Drama,"Josephson, Erland","Bergman, Ingmar"
1986,120,Betty Blue,Drama,"Anglade, Jean-Hughes","Beineix, Jean-Jacques"
1979,122,Hair,Music,"Savage, John","Forman, Milos"
1989,97,National Lampoon's Christmas Vacation,Comedy,"Chase, Chevy","S, Jeremiah"
1974,124,"Dersu Uzala, (The Hunter)",Adventure,"Solomin, Yuri","Kurosawa, Akira"
1990,106,Alice,Comedy,"Baldwin, Alec","Allen, Woody"
1980,90,"Fifth Floor, The",Mystery,"Hopkins, Bo","Avedis, Howard Hikmet"
1990,94,Snow Kill,Drama,"Knox, Terence","Wright, Thomas J."
1971,74,"People, The",Drama,"Shatner, William","Coppola, Francis Ford"
1969,128,True Grit,Western,"Wayne, John","Hathaway, Henry"
1942,18,"Battle of Midway, The",War,"Crisp, Donald","Ford, John"
1948,103,Three Godfathers,Western,"Wayne, John","Ford, John"
1965,133,"Hush, Hush, Sweet Charlotte",Mystery,"Cotten, Joseph","Aldrich, Robert"
1946,110,A Stolen Life,Drama,"Ford, Glenn","Bernhardt, Curtis"
1939,96,"Old Maid, The",Drama,"Brent, George","Goulding, Edmund"
1950,138,All about Eve,Drama,"Sanders, George","Mankiewicz, Joseph L."
1986,96,"Fly, The",Horror,"Goldblum, Jeff","Cronenberg, David"
1990,89,Quick Change,Comedy,"Murray, Bill","Franklin, Howard "
1988,93,"Lair of the White Worm, The",Horror,"Grant, Hugh","Russell, Ken"
1989,104,"Rainbow, The",Drama,"Hemmings, David","Russell, Ken"
1956,120,"Man Who Knew Too Much, The",Mystery,"Stewart, James","Hitchcock, Alfred"
1992,90,Beauty & the Beast,Science Fiction,"Marais, Jean","Cocteau, Jean"
1940,120,Foreign Correspondent,Mystery,"McCrea, Joel","Hitchcock, Alfred"
1949,115,"Heiress, The",Drama,"Richardson, Ralph","Wyler, William"
1986,120,"Boy Who Could Fly, The",Drama,"Underwood, Jay","Castle, Nick"
1975,89,"Terrorists, The",Action,"Connery, Sean","Wrede, Caspar"
1942,85,Wheel of Fortune,Drama,"Wayne, John","Auer, John H."
1989,120,Do the Right Thing,Drama,"Aiello, Danny","Lee, Spike"
1990,93,"Court-Martial of Jackie Robinson, The",Drama,"Braugher, Andre","Peerce, Larry"
1967,90,Elvira Madigan,Drama,"Berggren, Thommy","Widerberg, Bo"
1992,86,Hurricane Smith,Action,"Weathers, Carl","Budds, Colin"
1987,86,Fair Game,Action,"Ford, Peter",
1989,95,"Rape of the Sabines, The",Action,"Moore, Roger",
1983,99,Risky Business,Comedy,"Cruise, Tom","Brickman, Paul"
